會員編號,年齡,性別,居住地區,會員等級,累積消費次數
M01412,29,男,台南市,一般會員,23
M01413,26,女,新竹市,黃金會員,40
M01414,36,女,台北市,一般會員,48
M01415,18,男,桃園市,黃金會員,43
M01416,37,女,台南市,白金會員,46
M01417,28,女,台北市,一般會員,23
M01418,32,男,台北市,黃金會員,19
M01419,38,男,台中市,一般會員,22
M01420,29,女,台北市,一般會員,38
M01421,18,男,台南市,白金會員,5
M01422,33,不透露,高雄市,鑽石VIP,28
M01423,38,女,新北市,黃金會員,17
M01424,39,女,台北市,白金會員,42
M01425,55,男,高雄市,一般會員,24
M01426,31,女,台北市,一般會員,5
M01427,52,男,新北市,一般會員,44
M01428,32,女,台北市,黃金會員,39
M01429,31,女,台南市,白金會員,44
M01430,38,男,新北市,一般會員,20
M01431,26,男,台北市,一般會員,1
M01432,28,女,桃園市,白金會員,48
M01433,41,男,新北市,一般會員,30
M01434,51,女,高雄市,一般會員,34
M01435,31,不透露,新北市,白金會員,33
M01436,40,男,台中市,黃金會員,26
M01437,31,女,高雄市,一般會員,33
M01438,33,男,高雄市,白金會員,37
M01439,32,男,新北市,鑽石VIP,45
M01440,53,女,台北市,白金會員,27
M01441,20,女,台北市,一般會員,13
M01442,28,男,台北市,黃金會員,26
M01443,32,女,高雄市,黃金會員,23
M01444,25,男,新北市,黃金會員,12
M01445,22,女,台南市,黃金會員,22
M01446,26,男,新竹市,黃金會員,5
M01447,24,女,台北市,鑽石VIP,45
M01448,27,女,台北市,白金會員,34
M01449,20,女,台中市,白金會員,31
M01450,23,男,台中市,黃金會員,12
M01451,32,女,台中市,黃金會員,14
M01452,36,男,台南市,一般會員,43
M01453,38,男,新北市,黃金會員,42
M01454,35,男,新北市,黃金會員,32
M01455,60,女,台北市,白金會員,39
M01456,33,男,台南市,一般會員,16
M01457,25,女,台中市,黃金會員,36
M01458,24,男,台南市,黃金會員,1
M01459,24,女,高雄市,白金會員,32
M01460,44,女,台北市,黃金會員,42
M01461,31,女,高雄市,黃金會員,43
M01462,25,女,新北市,一般會員,17
M01463,26,女,高雄市,一般會員,10
M01464,24,女,台北市,一般會員,31
M01465,19,女,新北市,黃金會員,4
M01466,36,不透露,新北市,黃金會員,19
M01467,31,女,新竹市,一般會員,31
M01468,23,男,台北市,黃金會員,28
M01469,43,女,台中市,黃金會員,19
M01470,26,男,台中市,一般會員,21
M01471,30,男,台北市,一般會員,35
M01472,31,女,新北市,一般會員,13
M01473,39,男,新北市,一般會員,45
M01474,43,女,台北市,一般會員,11
M01475,42,女,台北市,黃金會員,47
M01476,39,女,桃園市,一般會員,18
M01477,43,男,台中市,一般會員,50
M01478,37,男,台中市,黃金會員,22
M01479,21,女,台南市,黃金會員,1
M01480,25,女,台中市,一般會員,49
M01481,44,女,台北市,一般會員,49
M01482,26,女,台中市,黃金會員,23
M01483,42,男,新北市,鑽石VIP,35
M01484,44,女,台中市,黃金會員,27
M01485,33,女,新北市,黃金會員,28
M01486,27,不透露,台北市,一般會員,14
M01487,26,女,台北市,一般會員,25
M01488,20,女,高雄市,一般會員,46
M01489,57,女,台北市,一般會員,50
M01490,38,男,台北市,一般會員,42
M01491,34,女,新北市,黃金會員,46
M01492,39,女,新竹市,黃金會員,50
M01493,18,女,台北市,一般會員,34
M01494,41,女,台中市,白金會員,17
M01495,26,女,台北市,黃金會員,34
M01496,38,男,新北市,一般會員,33
M01497,37,女,台北市,黃金會員,46
M01498,28,男,新北市,一般會員,18
M01499,43,女,台北市,一般會員,41
M01500,30,男,台北市,一般會員,4
