客訴單號,會員等級,客訴內容,處理狀態,建檔日期
TK-43450,VVIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-02 08:00
TK-72810,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,已結案,2026-05-05 16:00
TK-72323,VVIP,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,未處理,2026-05-10 17:00
TK-21380,VIP,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,處理中,2026-05-08 17:00
TK-11926,VVIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-14 20:00
TK-87316,VVIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-09 22:00
TK-80411,VVIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-04 09:00
TK-56616,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-03 11:00
TK-44615,VVIP,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-09 04:00
TK-95146,VVIP,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-06 17:00
TK-51253,VIP,昨天客服小姐的態度很差，問個問題很不耐煩，請主管出來說明！,已結案,2026-05-05 16:00
TK-99241,VIP,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-12 13:00
TK-15580,VVIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-15 18:00
TK-10322,VIP,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-03 16:00
TK-55447,VIP,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,已結案,2026-05-01 09:00
TK-26223,VVIP,每次點開商品詳情都要等很久，是伺服器又當了嗎？,處理中,2026-05-15 05:00
TK-65943,VVIP,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,未處理,2026-05-08 11:00
TK-96466,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,已結案,2026-05-09 23:00
TK-87979,一般會員,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,已結案,2026-05-15 21:00
TK-87850,VVIP,活動送的贈品根本沒拿到，是不是漏放了？,已結案,2026-05-13 22:00
TK-68343,VIP,活動送的贈品根本沒拿到，是不是漏放了？,未處理,2026-05-03 12:00
TK-10394,一般會員,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,已結案,2026-05-15 13:00
TK-81911,一般會員,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,處理中,2026-05-02 00:00
TK-46426,一般會員,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,處理中,2026-05-05 00:00
TK-12732,一般會員,活動送的贈品根本沒拿到，是不是漏放了？,未處理,2026-05-02 12:00
TK-38321,VVIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-08 18:00
TK-10682,一般會員,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-13 20:00
TK-54018,VIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-03 20:00
TK-67951,一般會員,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-14 23:00
TK-82837,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-11 05:00
TK-54153,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-02 07:00
TK-60592,一般會員,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,未處理,2026-05-08 03:00
TK-60113,一般會員,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,已結案,2026-05-02 17:00
TK-74789,VIP,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-09 02:00
TK-12487,VVIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,已結案,2026-05-15 06:00
TK-25778,VVIP,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,處理中,2026-05-02 07:00
TK-70403,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-10 13:00
TK-67208,VVIP,昨天客服小姐的態度很差，問個問題很不耐煩，請主管出來說明！,已結案,2026-05-09 04:00
TK-10448,VVIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-05 05:00
TK-85785,VVIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-08 07:00
TK-79660,一般會員,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,處理中,2026-05-02 02:00
TK-63197,VIP,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-01 05:00
TK-91509,一般會員,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,已結案,2026-05-15 04:00
TK-37957,VIP,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,未處理,2026-05-03 04:00
TK-16317,一般會員,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-01 02:00
TK-89149,一般會員,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,已結案,2026-05-07 01:00
TK-47011,VVIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-01 12:00
TK-19666,VIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-05 15:00
TK-72359,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-06 12:00
TK-29641,一般會員,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,已結案,2026-05-15 15:00
TK-63773,VIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,已結案,2026-05-01 08:00
TK-29160,一般會員,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,處理中,2026-05-01 21:00
